Détails des ventes P-1
Période,Date de début,Date de fin,Nombre total de ventes,Quantité totale vendue,Total des frais de livraison,Total des réductions,Total de TVA,Total des ventes HT,Total des ventes TTC
Mois,2024-07-01,2024-07-31,0,0,0.0,0.0,0.0,0.0,0.0

Détails des ventes
Date de début,Frais de livraison,Réduction,Total HT,Total TTC,TVA,Quantité d'éléments
2024-08-31,114.8,1439.96,14452.28,16017.58,2890.46,54

Prédictions
Nom du produit,Date de prédiction de vente,Total TTC,Quantité de prédiction,Fiabilité (%)
Escapade,2024-08-11,199.98,2,99.19
Grille pain Deluxe,2024-08-11,49.99,1,100.0
Friteuse Pro,2024-08-11,79.99,1,100.0
Eveil,2024-08-11,299.98,2,98.67
Mixeur Eco Plus,2024-08-11,99.99,1,100.0
Friteuse Pro,2024-08-12,79.99,1,100.0
Grille pain Deluxe,2024-08-12,49.99,1,100.0
Eveil,2024-08-12,299.98,2,98.67
Rive,2024-08-12,90.0,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-12,599.99,1,100.0
Expressive,2024-08-12,249.99,1,100.0
Escapade,2024-08-12,99.99,1,99.19
Mixeur Eco Plus,2024-08-12,99.99,1,100.0
Mixeur Eco Plus,2024-08-13,99.99,1,100.0
Friteuse Pro,2024-08-13,79.99,1,100.0
Grille pain Deluxe,2024-08-13,49.99,1,100.0
Eveil,2024-08-13,299.98,2,98.67
Rive,2024-08-13,90.0,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-13,599.99,1,100.0
Expressive,2024-08-13,249.99,1,100.0
Escapade,2024-08-13,99.99,1,99.19
Friteuse Pro,2024-08-14,79.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-14,599.99,1,100.0
Grille pain Deluxe,2024-08-14,49.99,1,100.0
Expressive,2024-08-14,249.99,1,100.0
Escapade,2024-08-14,199.98,2,99.19
Eveil,2024-08-14,299.98,2,98.67
Mixeur Eco Plus,2024-08-14,99.99,1,100.0
Rive,2024-08-14,90.0,1,100.0
Mixeur Eco Plus,2024-08-15,99.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-15,599.99,1,100.0
Escapade,2024-08-15,99.99,1,99.19
Rive,2024-08-15,90.0,1,100.0
Eveil,2024-08-15,299.98,2,98.67
Grille pain Deluxe,2024-08-15,49.99,1,100.0
Expressive,2024-08-15,249.99,1,100.0
Friteuse Pro,2024-08-15,79.99,1,100.0
Expressive,2024-08-16,249.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-16,599.99,1,100.0
Escapade,2024-08-16,99.99,1,99.19
Rive,2024-08-16,90.0,1,100.0
Friteuse Pro,2024-08-16,79.99,1,100.0
Mixeur Eco Plus,2024-08-16,99.99,1,100.0
Grille pain Deluxe,2024-08-16,49.99,1,100.0
Eveil,2024-08-16,299.98,2,98.67
Expressive,2024-08-17,249.99,1,100.0
Mixeur Eco Plus,2024-08-17,99.99,1,100.0
Friteuse Pro,2024-08-17,79.99,1,100.0
Grille pain Deluxe,2024-08-17,49.99,1,100.0
Rive,2024-08-17,90.0,1,100.0
Eveil,2024-08-17,299.98,2,98.67
Escapade,2024-08-17,199.98,2,99.19
Cuisinière à Gaz 5 Feux,2024-08-17,599.99,1,100.0
Grille pain Deluxe,2024-08-18,49.99,1,100.0
Rive,2024-08-18,90.0,1,100.0
Mixeur Eco Plus,2024-08-18,99.99,1,100.0
Expressive,2024-08-18,249.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-18,599.99,1,100.0
Eveil,2024-08-18,299.98,2,98.67
Friteuse Pro,2024-08-18,79.99,1,100.0
Escapade,2024-08-18,99.99,1,99.19
Escapade,2024-08-19,99.99,1,99.19
Mixeur Eco Plus,2024-08-19,99.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-19,599.99,1,100.0
Rive,2024-08-19,90.0,1,100.0
Eveil,2024-08-19,299.98,2,98.67
Friteuse Pro,2024-08-19,79.99,1,100.0
Expressive,2024-08-19,249.99,1,100.0
Grille pain Deluxe,2024-08-19,49.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-20,599.99,1,100.0
Eveil,2024-08-20,299.98,2,98.67
Grille pain Deluxe,2024-08-20,49.99,1,100.0
Mixeur Eco Plus,2024-08-20,99.99,1,100.0
Rive,2024-08-20,90.0,1,100.0
Expressive,2024-08-20,249.99,1,100.0
Friteuse Pro,2024-08-20,79.99,1,100.0
Escapade,2024-08-20,199.98,2,99.19
Grille pain Deluxe,2024-08-21,49.99,1,100.0
Rive,2024-08-21,90.0,1,100.0
Friteuse Pro,2024-08-21,79.99,1,100.0
Eveil,2024-08-21,299.98,2,98.67
Escapade,2024-08-21,99.99,1,99.19
Cuisinière à Gaz 5 Feux,2024-08-21,599.99,1,100.0
Mixeur Eco Plus,2024-08-21,99.99,1,100.0
Expressive,2024-08-21,249.99,1,100.0
Eveil,2024-08-22,299.98,2,98.67
Escapade,2024-08-22,99.99,1,99.19
Cuisinière à Gaz 5 Feux,2024-08-22,599.99,1,100.0
Expressive,2024-08-22,249.99,1,100.0
Friteuse Pro,2024-08-22,79.99,1,100.0
Rive,2024-08-22,90.0,1,100.0
Mixeur Eco Plus,2024-08-22,99.99,1,100.0
Grille pain Deluxe,2024-08-22,49.99,1,100.0
Mixeur Eco Plus,2024-08-23,99.99,1,100.0
Rive,2024-08-23,90.0,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-23,599.99,1,100.0
Eveil,2024-08-23,299.98,2,98.67
Friteuse Pro,2024-08-23,79.99,1,100.0
Grille pain Deluxe,2024-08-23,49.99,1,100.0
Expressive,2024-08-23,249.99,1,100.0
Rive,2024-08-24,90.0,1,100.0
Eveil,2024-08-24,299.98,2,98.67
Escapade,2024-08-24,99.99,1,99.19
Grille pain Deluxe,2024-08-24,49.99,1,100.0
Mixeur Eco Plus,2024-08-24,99.99,1,100.0
Friteuse Pro,2024-08-24,79.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-24,599.99,1,100.0
Expressive,2024-08-24,249.99,1,100.0
Expressive,2024-08-25,249.99,1,100.0
Friteuse Pro,2024-08-25,79.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-25,599.99,1,100.0
Eveil,2024-08-25,299.98,2,98.67
Rive,2024-08-25,90.0,1,100.0
Grille pain Deluxe,2024-08-25,49.99,1,100.0
Escapade,2024-08-25,99.99,1,99.19
Mixeur Eco Plus,2024-08-25,99.99,1,100.0
Expressive,2024-08-26,249.99,1,100.0
Eveil,2024-08-26,299.98,2,98.67
Mixeur Eco Plus,2024-08-26,99.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-26,599.99,1,100.0
Grille pain Deluxe,2024-08-26,49.99,1,100.0
Escapade,2024-08-26,99.99,1,99.19
Rive,2024-08-26,90.0,1,100.0
Friteuse Pro,2024-08-26,79.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-27,599.99,1,100.0
Mixeur Eco Plus,2024-08-27,99.99,1,100.0
Eveil,2024-08-27,299.98,2,98.67
Rive,2024-08-27,90.0,1,100.0
Friteuse Pro,2024-08-27,79.99,1,100.0
Expressive,2024-08-27,249.99,1,100.0
Grille pain Deluxe,2024-08-27,49.99,1,100.0
Expressive,2024-08-28,249.99,1,100.0
Eveil,2024-08-28,299.98,2,98.67
Cuisinière à Gaz 5 Feux,2024-08-28,599.99,1,100.0
Grille pain Deluxe,2024-08-28,49.99,1,100.0
Mixeur Eco Plus,2024-08-28,99.99,1,100.0
Friteuse Pro,2024-08-28,79.99,1,100.0
Escapade,2024-08-28,99.99,1,99.19
Rive,2024-08-28,90.0,1,100.0
Friteuse Pro,2024-08-29,79.99,1,100.0
Rive,2024-08-29,90.0,1,100.0
Mixeur Eco Plus,2024-08-29,99.99,1,100.0
Escapade,2024-08-29,199.98,2,99.19
Cuisinière à Gaz 5 Feux,2024-08-29,599.99,1,100.0
Eveil,2024-08-29,299.98,2,98.67
Expressive,2024-08-29,249.99,1,100.0
Grille pain Deluxe,2024-08-29,49.99,1,100.0
Friteuse Pro,2024-08-30,79.99,1,100.0
Escapade,2024-08-30,99.99,1,99.19
Cuisinière à Gaz 5 Feux,2024-08-30,599.99,1,100.0
Mixeur Eco Plus,2024-08-30,99.99,1,100.0
Rive,2024-08-30,90.0,1,100.0
Grille pain Deluxe,2024-08-30,49.99,1,100.0
Expressive,2024-08-30,249.99,1,100.0
Eveil,2024-08-30,299.98,2,98.67
Cuisinière à Gaz 5 Feux,2024-08-31,599.99,1,100.0
Mixeur Eco Plus,2024-08-31,99.99,1,100.0
Friteuse Pro,2024-08-31,79.99,1,100.0
Grille pain Deluxe,2024-08-31,49.99,1,100.0
Expressive,2024-08-31,249.99,1,100.0
Eveil,2024-08-31,299.98,2,98.67
Escapade,2024-08-31,99.99,1,99.19
Rive,2024-08-31,90.0,1,100.0
